iter	Passed	Remaining
1157	26544	9535
1158	26567	9513
1159	26590	9490
1160	26612	9466
1161	26635	9443
1162	26659	9421
1163	26681	9398
1164	26704	9375
1165	26728	9352
1166	26752	9330
1167	26775	9307
1168	26798	9284
1169	26821	9261
1170	26844	9238
1171	26868	9215
1172	26890	9192
1173	26913	9170
1174	26937	9147
1175	26951	9121
1176	26974	9098
1177	26997	9075
1178	27019	9052
1179	27041	9029
1180	27064	9006
1181	27087	8983
1182	27110	8960
1183	27135	8938
1184	27159	8915
1185	27183	8893
1186	27206	8870
1187	27229	8847
1188	27252	8824
1189	27275	8801
1190	27298	8778
1191	27321	8755
1192	27346	8733
1193	27369	8710
1194	27393	8687
1195	27416	8665
1196	27440	8642
1197	27462	8619
1198	27485	8596
1199	27507	8573
1200	27529	8549
1201	27552	8527
1202	27576	8504
1203	27600	8481
1204	27623	8458
1205	27646	8436
1206	27669	8413
1207	27693	8390
1208	27715	8367
1209	27738	8344
1210	27761	8321
1211	27784	8298
1212	27808	8275
1213	27832	8253
1214	27856	8230
1215	27879	8207
1216	27902	8185
1217	27925	8162
1218	27949	8139
1219	27973	8116
1220	27997	8094
1221	28020	8071
1222	28043	8048
1223	28066	8025
1224	28089	8002
1225	28112	7979
1226	28135	7956
1227	28160	7934
1228	28184	7911
1229	28208	7889
1230	28232	7866
1231	28256	7844
1232	28280	7821
1233	28303	7798
1234	28326	7775
1235	28349	7752
1236	28372	7729
1237	28396	7706
1238	28419	7684
1239	28443	7661
1240	28466	7638
1241	28489	7615
1242	28511	7592
1243	28533	7569
1244	28555	7546
1245	28577	7522
1246	28600	7499
1247	28624	7477
1248	28648	7454
1249	28673	7432
1250	28697	7409
1251	28721	7386
1252	28744	7363
1253	28767	7341
1254	28790	7318
1255	28814	7295
1256	28838	7272
1257	28862	7249
1258	28885	7227
1259	28907	7204
1260	28930	7180
1261	28952	7157
1262	28975	7134
1263	28997	7111
1264	29022	7089
1265	29045	7066
1266	29069	7043
1267	29092	7020
1268	29118	6998
1269	29141	6975
1270	29163	6952
1271	29186	6929
1272	29210	6906
1273	29233	6883
1274	29257	6861
1275	29281	6838
1276	29304	6815
1277	29327	6792
1278	29350	6769
1279	29372	6746
1280	29395	6723
1281	29418	6700
1282	29442	6677
1283	29465	6654
1284	29489	6632
1285	29512	6609
1286	29535	6586
1287	29556	6563
1288	29579	6540
1289	29601	6516
1290	29624	6493
1291	29647	6471
1292	29671	6448
1293	29694	6425
1294	29717	6402
1295	29740	6379
1296	29762	6356
1297	29785	6333
1298	29807	6310
1299	29830	6287
1300	29852	6264
1301	29875	6241
1302	29899	6218
1303	29923	6195
1304	29947	6173
1305	29970	6150
1306	29993	6127
1307	30015	6104
1308	30037	6080
1309	30059	6057
1310	30081	6034
1311	30105	6011
1312	30128	5989
1313	30152	5966
1314	30176	5943
1315	30199	5920
1316	30223	5897
1317	30246	5874
1318	30268	5851
1319	30291	5828
1320	30314	5805
1321	30338	5783
1322	30362	5760
1323	30385	5737
1324	30408	5714
1325	30430	5691
1326	30453	5668
1327	30475	5645
1328	30498	5622
1329	30522	5599
1330	30545	5576
1331	30569	5553
1332	30593	5531
1333	30615	5508
1334	30638	5485
1335	30660	5462
1336	30683	5439
1337	30708	5416
1338	30731	5393
1339	30754	5370
1340	30778	5347
1341	30801	5324
1342	30824	5301
1343	30849	5279
